"cowcode","baseline_year","military_bin","ever_coup_post","conflict_years_post","years_post","conflict_share_post","military_group","country_name"
620,1951,1,1,19,63,0.301587301587302,"Military mentioned","Libya"
625,1971,1,1,29,43,0.674418604651163,"Military mentioned","Sudan"
630,1946,1,1,49,68,0.720588235294118,"Military mentioned","Iran"
640,1946,1,1,49,68,0.720588235294118,"Military mentioned","Turkey"
645,1946,1,1,55,68,0.808823529411765,"Military mentioned","Iraq"
651,1953,0,1,41,61,0.672131147540984,"No military mention","Egypt"
652,1946,1,1,58,68,0.852941176470588,"Military mentioned","Syria"
660,1946,1,1,39,68,0.573529411764706,"Military mentioned","Lebanon"
663,1946,1,0,34,68,0.5,"Military mentioned","Jordan"
666,1949,0,0,62,65,0.953846153846154,"No military mention","Israel"
670,1992,1,0,14,22,0.636363636363636,"Military mentioned","Saudi Arabia"
678,1962,1,1,10,52,0.192307692307692,"Military mentioned","Yemen Arab Republic"
680,1970,1,1,11,44,0.25,"Military mentioned","Yemen People's Republic"
690,1962,1,0,24,52,0.461538461538462,"Military mentioned","Kuwait"
692,1973,1,0,4,41,0.0975609756097561,"Military mentioned","Bahrain"
694,2003,1,0,1,11,0.0909090909090909,"Military mentioned","Qatar"
696,1971,1,0,10,43,0.232558139534884,"Military mentioned","United Arab Emirates"
698,1996,1,0,1,18,0.0555555555555556,"Military mentioned","Oman"
700,1946,1,1,37,68,0.544117647058823,"Military mentioned","Afghanistan"
701,1992,1,0,2,22,0.0909090909090909,"Military mentioned","Turkmenistan"
702,1994,1,0,9,20,0.45,"Military mentioned","Tajikistan"
703,1993,1,0,11,21,0.523809523809524,"Military mentioned","Kyrgyzstan"
704,1992,1,0,15,22,0.681818181818182,"Military mentioned","Uzbekistan"
705,1993,1,0,5,21,0.238095238095238,"Military mentioned","Kazakhstan"
710,1946,1,0,58,68,0.852941176470588,"Military mentioned","China"
712,1946,1,1,1,68,0.0147058823529412,"Military mentioned","Mongolia"
713,1947,1,0,35,67,0.522388059701492,"Military mentioned","Taiwan"
731,1948,1,0,58,66,0.878787878787879,"Military mentioned","North Korea"
732,1948,1,1,61,66,0.924242424242424,"Military mentioned","South Korea"
740,1946,0,0,34,68,0.5,"No military mention","Japan"
750,1949,1,0,56,65,0.861538461538462,"Military mentioned","India"
760,1953,0,0,3,61,0.0491803278688525,"No military mention","Bhutan"
770,1956,1,1,49,58,0.844827586206897,"Military mentioned","Pakistan"
771,1972,1,1,24,42,0.571428571428571,"Military mentioned","Bangladesh"
775,1947,1,1,33,67,0.492537313432836,"Military mentioned","Myanmar (Burma)"
780,1972,1,0,3,42,0.0714285714285714,"Military mentioned","Sri Lanka"
781,1968,0,0,0,46,0,"No military mention","Maldives"
790,1948,1,1,6,66,0.0909090909090909,"Military mentioned","Nepal"
800,1949,1,1,58,65,0.892307692307692,"Military mentioned","Thailand"
811,1947,1,1,33,67,0.492537313432836,"Military mentioned","Cambodia"
812,1947,1,1,26,67,0.388059701492537,"Military mentioned","Laos"
816,1960,1,0,40,54,0.740740740740741,"Military mentioned","Vietnam"
817,1956,1,1,17,58,0.293103448275862,"Military mentioned","Republic of Vietnam"
820,1957,1,0,15,57,0.263157894736842,"Military mentioned","Malaysia"
830,1963,1,0,2,51,0.0392156862745098,"Military mentioned","Singapore"
835,1959,1,0,0,55,0,"Military mentioned","Brunei"
840,1946,1,1,25,68,0.367647058823529,"Military mentioned","Philippines"
850,1946,1,1,22,68,0.323529411764706,"Military mentioned","Indonesia"
860,2002,1,0,0,12,0,"Military mentioned","Timor-Leste"
900,1946,1,0,19,68,0.279411764705882,"Military mentioned","Australia"
910,1975,1,0,3,39,0.0769230769230769,"Military mentioned","Papua New Guinea"
920,1946,0,0,13,68,0.191176470588235,"No military mention","New Zealand"
935,1980,1,0,0,34,0,"Military mentioned","Vanuatu"
940,1978,1,0,2,36,0.0555555555555556,"Military mentioned","Solomon Islands"
947,1986,0,0,0,28,0,"No military mention","Tuvalu"
950,1970,1,0,0,44,0,"Military mentioned","Fiji"
955,1946,1,0,0,68,0,"Military mentioned","Tonga"
970,1968,0,0,0,46,0,"No military mention","Nauru"
983,1979,1,0,0,35,0,"Military mentioned","Marshall Islands"
986,1981,1,0,0,33,0,"Military mentioned","Palau"
987,1978,0,0,0,36,0,"No military mention","Micronesia (Federated States of)"
990,1962,0,0,0,52,0,"No military mention","Samoa"
